Id,FacilityPoints,XX,YY
0,0,612684.883012,1189162.66477
1,1,612684.883012,1189172.66477
2,2,612684.883012,1189182.66477
3,3,612684.883012,1189192.66477
4,4,612684.883012,1189202.66477
5,5,612684.883012,1189212.66477
6,6,612684.883012,1189222.66477
7,7,612684.883012,1189232.66477
8,8,612684.883012,1189242.66477
9,9,612684.883012,1189252.66477
10,10,612684.883012,1189262.66477
11,11,612684.883012,1189272.66477
12,12,612684.883012,1189282.66477
13,13,612684.883012,1189292.66477
14,14,612684.883012,1189302.66477
15,15,612684.883012,1189312.66477
16,16,612684.883012,1189322.66477
17,17,612684.883012,1189332.66477
18,18,612684.883012,1189342.66477
19,19,612684.883012,1189352.66477
20,20,612684.883012,1189362.66477
21,21,612684.883012,1189372.66477
22,22,612684.883012,1189382.66477
23,23,612684.883012,1189392.66477
24,24,612684.883012,1189402.66477
25,25,612684.883012,1189412.66477
26,26,612684.883012,1189422.66477
27,27,612684.883012,1189432.66477
28,28,612684.883012,1189442.66477
29,29,612684.883012,1189452.66477
30,30,612684.883012,1189462.66477
31,31,612684.883012,1189472.66477
32,32,612684.883012,1189482.66477
33,33,612684.883012,1189492.66477
34,34,612684.883012,1189502.66477
35,35,612684.883012,1189512.66477
36,36,612684.883012,1189522.66477
37,37,612684.883012,1189532.66477
38,38,612684.883012,1189542.66477
39,39,612684.883012,1189552.66477
40,40,612684.883012,1189562.66477
41,41,612684.883012,1189572.66477
42,42,612684.883012,1189582.66477
43,43,612684.883012,1189592.66477
44,44,612684.883012,1189602.66477
45,45,612684.883012,1189612.66477
46,46,612684.883012,1189622.66477
47,47,612692.688384,1189626.86004
48,48,612702.265361,1189629.7378
49,49,612711.842339,1189632.61556
